Country,Region,Population,GDP ($ per capita),Climate,Birthrate,Agriculture,Industry
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,9000,2,"22,86","0,084","0,48"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,3900,2,"34,81","0,2","0,18"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,900,2,"49,82","0,45","0,17"
Malta ,WESTERN EUROPE                     ,400214,17700,,"10,22","0,03","0,23"
Marshall Islands ,OCEANIA                            ,60422,1600,2,"33,05","0,317","0,149"
Martinique ,LATIN AMER. & CARIB    ,436131,14400,2,"13,74","0,06","0,11"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1800,1,"40,99","0,25","0,29"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,11400,2,"15,43","0,059","0,298"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,2600,2,"40,95",,
Mexico ,LATIN AMER. & CARIB    ,107449525,9000,"1,5","20,69","0,038","0,259"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,2000,2,"24,68","0,289","0,152"
Moldova ,C.W. OF IND. STATES ,4466706,1800,,"15,7","0,213","0,233"
Monaco ,WESTERN EUROPE                     ,32543,27000,,"9,19","0,17",
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1800,1,"21,59","0,206","0,214"
Montserrat ,LATIN AMER. & CARIB    ,9439,3400,2,"17,59",,
Morocco ,NORTHERN AFRICA                    ,33241259,4000,,"21,98","0,217","0,357"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,1200,2,"35,18","0,262","0,348"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,7200,1,"24,32","0,097","0,315"
Nauru ,OCEANIA                            ,13287,5000,2,"24,76",,
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,1400,,"30,98","0,38","0,21"
Netherlands ,WESTERN EUROPE                     ,16491461,28600,3,"10,9","0,021","0,244"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,11400,2,"14,78","0,01","0,15"
New Caledonia ,OCEANIA                            ,219246,15000,2,"18,11","0,15","0,088"
New Zealand ,OCEANIA                            ,4076140,21600,3,"13,76","0,043","0,273"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,2300,2,"24,51","0,165","0,275"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,800,1,"50,73","0,39","0,17"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,900,"1,5","40,43","0,269","0,487"
N. Mariana Islands ,OCEANIA                            ,82459,12500,2,"19,43",,
Norway ,WESTERN EUROPE                     ,4610820,37800,3,"11,46","0,021","0,415"
Oman ,NEAR EAST                          ,3102229,13100,1,"36,24","0,027","0,39"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,2100,1,"29,74","0,216","0,251"
Palau ,OCEANIA                            ,20579,9000,2,"18,03","0,062","0,12"
Panama ,LATIN AMER. & CARIB    ,3191319,6300,2,"21,74","0,068","0,156"
Papua New Guinea ,OCEANIA                            ,5670544,2200,2,"29,36","0,353","0,381"
Paraguay ,LATIN AMER. & CARIB    ,6506464,4700,2,"29,1","0,224","0,207"
Peru ,LATIN AMER. & CARIB    ,28302603,5100,"1,5","20,48","0,08","0,27"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,4600,2,"24,89","0,144","0,326"
Poland ,EASTERN EUROPE                     ,38536869,11100,3,"9,85","0,05","0,311"
Portugal ,WESTERN EUROPE                     ,10605870,18000,3,"10,72","0,053","0,274"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,16800,2,"12,77","0,01","0,45"
Qatar ,NEAR EAST                          ,885359,21500,1,"15,56","0,002","0,801"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,5800,2,"18,9","0,08","0,19"
Romania ,EASTERN EUROPE                     ,22303552,7000,3,"10,7","0,101","0,35"
Russia ,C.W. OF IND. STATES ,142893540,8900,,"9,95","0,054","0,371"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,1300,3,"40,37","0,401","0,229"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,2500,,"12,13",,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,8800,2,"18,02","0,035","0,258"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,5400,2,"19,68","0,07","0,2"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,6900,,"13,52",,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,2900,2,"16,18","0,1","0,26"
Samoa ,OCEANIA                            ,176908,5600,2,"16,43","0,114","0,584"
San Marino ,WESTERN EUROPE                     ,29251,34600,,"10,02",,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1200,2,"40,25","0,167","0,148"
Saudi Arabia ,NEAR EAST                          ,27019731,11800,1,"29,34","0,033","0,613"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,23700,2,"9,34",0,"0,339"
Switzerland ,WESTERN EUROPE                     ,7523934,32700,3,"9,71","0,015","0,34"
Syria ,NEAR EAST                          ,18881361,3300,1,"27,76","0,249","0,23"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,23400,2,"12,56","0,018","0,259"
United Arab Emirates ,NEAR EAST                          ,2602713,23200,1,"18,96","0,04","0,585"
United Kingdom ,WESTERN EUROPE                     ,60609153,27700,3,"10,71","0,005","0,237"
United States ,NORTHERN AMERICA                   ,298444215,37800,3,"14,14","0,01","0,204"
